name	review	raiting	quality
Toy Story (1995)	"as the favourite characters for adults.Overall this is a classic film that will appeal to adults as much as to kids (if not more).  A good plot and a really sharp script make the already short running time fly by.  The only downside is that your kids will want you to go out and buy the damn things! that's true, but if you keep in mind that all this was done in 1995, when computers weren't yet as strong and the technology for creating such movies was almost unknown, than you can only have a lot of respect for what the creators did. I loved the story and liked the animations a lot. I give it an 8.5/10. ""Buzz Armstrong,"" I think the supporting characters just about stole the show: Mr. Potato Head, Slinky, Rex the dinosaur, etc.Multiple viewings don't diminish the entertainment, either. There are so many things to catch, audibly and visually, that you always seem to discover something new. The colors in here are beautiful, too. This is a guaranteed ""winner"" as is the sequel. Tom Hanks and Tim Allen is the next most aforementioned voice over. Unlike what most people think their is an actually a method to casting for animated films as there is to a live-action one. As a result of this Pixar stays faithful to its material and creates a great genuine and warm feeling around the film and its characters. the callback line, ""This is not flying - this is falling with style,"" simply seals this movie's greatness.At least I now have a plausible explanation as to why my toys always got lost: after going about their toy business, they would just go inert anywhere they happened to be, instead of paying attention to their master's infallible toy filing system.... "	8.3	1
Jumanji (1995)	"being as suitable as Jaws was for children, but big news Ebert, Jaws WAS rated PG. Anyway, I hate when people think of Jumanji as a 'should be PG-13' because it's not. It's great family fun with loads of laughs, jungle animals and creatures, and just plain hilariousness! 4/5 stars. I loved Jumanji, and I DEFINITELY recommend it to families. Hyde). Other than that, I loved the film the first I saw it and every time afterward. I've probably viewed this movie as much as any, simply because it was so entertaining.Robin Williams, David Alan Grier and the two kids, Kristen Dunst and Bradley Pierce, were all great people to watch and share this adventure with. Now THIS is entertainment! and an angry hunter? You'll just have to wait and see.This is a great movie for the family and I'd highly recommend it for a good watch. It's just a fun fill adventure with great effects and some fun performances by Robin and Bonnie and a very young Kirsten Dunst. So sit back, grab the popcorn, and enjoy ""Jumanji""! 8/10 original, with outstanding concepts packed into each individual scene. After viewing this movie, the wild side of the jungle gets into you, making you want to dare to play the game. Although the computer animation may not look all that real, I still give this movie a 10/10, for an outstanding plot, casting, and spirit, which any great movie has. -- necessary in a film of this type.  The script was co-written by Van Allsburg to insure the atmosphere of the film and book mesh, but he did not fall into the ""This is MY baby"" syndrome, and received good help from his two co-writers (for details, see the main page).  Highly recommended for old and young alike. "	6.9	0
Grumpier Old Men (1995)	"a special place in my heart. I was personally hoping for another Grumpy movie but sadly we've lost both of these wonderful stars so that will never happen. At least we will always have these fine films to enjoy and treasure. I have them on Dvd and watch them regularly..they never fail to touch my heart and make me smile. legend is returned to it's base.Even in the final moments of the film, with another marriage and a joke reminiscent of the first film's conclusion, suggests continuity. So there is a type of structural vigor in the two films, that strengthens their stories and increases the viewers pleasure watching them. Yes indeed, this is one sequel that works very well. bit and try to drive her out of town, but ends up falling for Matthau. It's great to see Loren get an opportunity to do comedy, and she gets her share of big laughs throughout the film. This film and it's predecessor once again will remind you of what a great team Lemmon and Matthau made. ***1/2 (out of four) are two of the funniest actors in history. No one else could have played Max & John. Sophia Loren is still one of the most beautiful women in movie history! One of the funniest scenes is when she says ""Holy moly"" after being kissed by Max. Watch this movie. You will enjoy it, if you have a sense of humor! jab at each other while Sophia Loren practically steals the film with her still astonishing beauty. Things only get better with age. "	6.6	0
Waiting to Exhale (1995)	"unfeeling creatures. So basically, I feel that this movie is one to be appreciated and enjoyed. (And in response to one respone that i read. . . One does not CHOOSE who they fall in love with, love just happens. We cannot choose who we love.) Anyways. . .i loved the part where she burned all the clothes too :) very well just like in all her movies, she's not an oscar caliber actress (very few are) but she definitely has screen presence, charisma and gets the job done.  Stop hating her because she's a singer, unlike Madonna or Mariah, Whitney at least did some quality work with some quality people, and she hasn't had flops & horrible movies. heard many times that the book is better... but hey thats true for almost every book turned movie. So all I know is I love this movie, and every time I watch it, it gives me great pleasure. Not too mention the soundtrack is fabulous! Whitney, Brandy, Babyface,Faith Evans,and Mary J Blige make the music in the film absolutely great. be by herself at the end.This movie might have been better with a female director, as Forest Whitaker didn't ""tell this story"" properly at all. We ended up not liking or caring about the characters because we really didn't get a strong sense of who they were.Also, was it me, or was everything in this movie either orange or blue? they emphasized the canine-qualities of men.  Read the book; rent Soul Food instead! "	5.8	0
Father of the Bride Part II (1995)	I don't think George Banks could possibly have spent more money. In the previous film, Father of the Bride (1991), Bryan's parents were portrayed as wealthy, but George is clearly a millionaire himself. I did enjoy this movie -- it's funny, romantic and very warm, with beautiful sets -- but  I would have preferred a little less over-the-top consumerism. to Bowfinger and Planes, Trains and Automobiles.  I enjoyed the acting, I enjoyed the story and everything else about this movie that made it great.  It wasn't a comedy going from one zinger to the next but something well thought out and well written.If your looking for a lite movie with some fun, I recommend seeing this movie. well-done. Charles Shyer's Direction, on the other-hand, is good. Cinematography & Editing are fair.Performance-Wise: Steve Martin is lovable. He reprises his part of a loving/possessive dad commendably. Diane Keaton is flawless, yet again. Kimberly Williams-Paisley is cute. George Newbern is sincere. Kieran Culkin is adequate. Martin Short entertains.On the whole, 'Father of the Bride Part II' is a satisfying sequel. and make it sound brilliant; he can take the most insipid scene and raise it to the level of comedy or drama. Kudos to Steve Martin for his sterling performance. As for the other star, Diane Keaton, her performance is wonderful too, but it is Mr. Martin who carries this movie and once again proves that he is the star. beauty that is a true role model for all young girls. She, and her character, is beautiful, intelligent, and has a heart of gold. Had her relationship with Martin been more focused, this sequel would have surpassed the original. While it doesn't do that, it is still a perfect film for the entire family to watch. *** out of ****. 	6.0	0
Heat (1995)	want to lead. Pacino's cop is less easy to sympathise with, but he too leads an in-escapable life of guns and crime. What really stands out is the climax. On the whole, Heat has to be the best cops n' robbers film ever made, indeed, one of the best films. An epic, wonderful, sad, adrenaline-fuelled exercise in scale and grandeur. who, like me sees not black or white portrayals of protagonist and villain, but a montage of grays that combine to create a vivid spectrum of film characterization that could not be found in hundreds of films combined. One of my five favorite films of all time, Heat is a cinematic banquet of intense imagery and pulse-pounding action. Come hungry. makes this scene so believable.  And, despite the enormous cast, Mann was still able to keep his agenda clear, and orchestrate so much talent into a coherent movie. Michael Mann deserves credit for both his vision and ability to express it.Because of these and other well done aspects, 'Heat' is one of the most powerful crime dramas ever made. movie, and the support cast is astonishing when you actually read the caliber of who appeared in this film.Tom Sizmore, Val Kilmer,Ashley Judd,Ted Levine,Wes Studi,Hank Azaria,William Fitchner,Henry Rollins,Dennis Haysbert,Tom Noonan. And Natalie Portman, for chrissake! Try getting that cast again.A real 10/10 film. And that Moby song at the end(God moving over the face of waters) gets me every time. and Robert De Niro's performance they both fit the task and accomplish their acting their characters. Heat is the 1995 crime drama directed by Michael Mann and marked the first on screen pairing of legendary actors Al Pacino and Robert De Niro.10/10 My all time personal favorite action heist masterpiece Michael Mann film of all time, this movie kicks ass. 	8.2	1
Sabrina (1995)	"the) Moonlight"" and ""How Can I Remember?"", are just as memorable and perfectly capture the feelings of romance and longing.Hollywood has made a number of successful romantic movies, and I think ""Sabrina"" ranks as one of its best. Its charm never wears off. It sweeps you off your feet and makes your heart soar. It is a marvelous, marvelous film! version of ""Sabrina"", unfairly comparing it to the original Audrey Hepburn ""Sabrina"".  Nobody could ever compare to Audrey Hepburn, but Julia Ormond is a fine Sabrina in her own right.  She makes the transition from awkward teen to glamorous woman with subtlety and grace. Greg Kinnear shows a natural flair for acting in his first major movie role. great acting can define a relationship, this one between mother and son, for an audience.But this film should have been called Linus. Harrison Ford's tour de force performance as the greater Larrabee fulfills Pollack's mission to tell a simple story of how a king is transformed by the love of a woman.""It was a lie, then it was a dream."" who wears the business-first character of the ""only surviving heart donor"" very well, and for Julia Ormond whose intense and beguiling performance makes us forgive her for not being Audrey Hepburn.(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon!) the players are selected very well , each contributing mightily to the final effect! The director really knew what he was doing and keeps the movie going strong.. congratulations to all. I wish there were more works like this, and would really like to see another done with Harrison Ford and Julia Ormond in the title roles, oncemore!. Bravo! Bravo! "	6.3	0
Tom and Huck (1995)	scenes. The graveyard scene is well done. Injun Joe is threatening and murderous. The funeral scene is a disappointment. It needed to be milked a bit. Some of the peripheral characters could have been more developed. The conclusion works OK. However, it needed a dose of truth and believability to carry it through. See it, but don't expect a lot. Huck is an interesting enough film, but the transformation of Eric Schweig in his portrayal of Injun Joe compared to his characterization of Uncas in The Last of the Mohicans, is the most fascinating thing about it. In the body of his films, he seems to be able to alternate between utterly noble and utterly disgusting (e.g., Missing). Great acting. sugar-coated scenes and the fact that both Tom and Huck are a bit out-of-character, this movie is still something worth seeing. Injun Joe and Muff Potter are both realistic and Rachael Leigh Cook makes a brilliant and not-so-girly Becky Thatcher! The sets and wardrobe look very authentic, but they alone are not enough to bring the evergreen story wholly alive. of all time? Not that this is a bad film. As far as kid stories go, it is alright, and not the worst introduction to the world of Mark Twain. But it is clearly not intended to be a masterpiece, but more like something one might see on the Hallmark channel. Just a showcase for the now-forgotten Jonathan Taylor Thomas. Not to mention that Rachael Leigh Cook as Becky Thatcher is probably the worst case of miscasting in this movie; she was way too old and was a good two heads taller than Jonathan Taylor Thomas. Disney could have made their own version of Tom Sawyer great, especially with Jonathan Taylor Thomas as the lead. What a wasted, missed opportunity. 	5.6	0
Sudden Death (1995)	"the gunplay and the action during the game), and the suspense has you on the edge. ""Sudden Death"" has a few silly moments here and there, but since this movie is such a good thrill ride, you won't care. This movie deserved to be a big hit at the box office and wasn't. I'll never understand why.***1/2 (out of four) through one of the neck of a terrorist.  Fun and yucky isn't it?The last half of the film is just about entertaining as the first half is.  I'm undecided if ""Sudden Death"" would make the best thriller that involves a sports event and terrorists since John Frankenheimer's ""Black Sunday"".  Van Damme and Boothe are both good here. Then it never lets up. If you want a pure hour of action, this is it. There is no female lead in this movie, so you get no romance nor gratuitous sex scenes, which is a bit unusual. It's a straight crime story.One note: unless things have been changed, I was disappointed my DVD did not offer a widescreen version. Boothe. He was extremely convincing as ""the bad guy"". The movie at times is a little far fetched..but most movies are.  I also thought it was very cool how Jean-Claude's character used lots of odd objects to create weapons(Fire extinguisher, tube and darts)..anyway if your looking for a good action movie to watch, Sudden Death should be your choice. be one of the best movies of all time in it's genre. This movie - Sudden Death - is his best action film.Great action scenes, some very hilarious scenes, and great overall action and suspense make this a great action movie overall.If you like action movies, you'll love this one. If you are a Van-Damme fan, this is a must-see.9/10 "	5.7	0
GoldenEye (1995)	"produced by Eon Productions, and the first to star Pierce Brosnan as the fictional MI6 officer James Bond. The film was directed by Martin Campbell and is the first in the series not to take story elements from the works of novelist Ian Fleming.10/10 my favorite James Bond number 1 movie. This film is amazing Totally mind-blowing I love it. as an extra at the Chemin De Fer table at Monte Carlo's gambling casino; she's the daughter of Eunice Gayson, who played Bond's fetching girlfriend, Sylvia Trench in the first two Bond films, ""Dr. No"" and ""From Russia With Love."" It was to Sylvia Trench that Sean Connery uttered his first line of dialog, ""I admire your luck, Mr. ...?"" briefing and some commands.  Brosnan more than holds his own against past Bonds, and offers some of that GQ gentlemen element found missing in some of the past ones.  Bond fan, action fan, any fan, check this one out.  I even made my girlfriend watch it, and even she enjoyed it.  Chances are you will too. in my opinion, and ties all the classic 007 elements together flawlessly. Although adhering to the Bond foundations, this film has a great, fresh feel to it, I think partly due to the industrial style score by Eric Serra. I think you need to see this film more than once to fully appreciate it, but it is definitely a classic! has great fun as a female baddie who crushes victims between her thighs (what a way to go!) Goldeneye is by no means the best of the Bond series, but one has to be thankful to it for getting the dormant series up and running once more. And, in its pacy, breakneck way, it is undeniably a lot of fun. "	7.2	0
