name	review	raiting	quality
Finding Nemo	I have enjoyed most of the computeranimated film made so far ranging from Pixar film like Toy Story and The Incredibles to DreamWorks film like Shrek But Finding Nemo is the one that remains unparalleled not because of it comedy or creativity both of which are equaled in the Toy Story movie and in Monsters Inc but because it truly more than any of the previous computeranimated feature reinvents the genre of the childrens animated filmHumor in traditional animation is usually based on broad slapstick and physical exaggeration There are occasional nod to this brand of humor in Finding NemoIll	8.1	1
The Incredibles	Shortly after Dreamworks screwed up with the uninspired Shark Tale Pixar contains it remarkably success story with The Incredibles And while I have to say that I liked Finding Nemo a bit better The Incredibles is still an amazing movieFirst of all this is because it funny Its not so funny that youre constantly laughing out loud but there are more than enough good joke in the movie to keep you entertained and it full of good observation about superhero movie note all the ridiculous superhero and villain name and reference to other movie Its also a brilliant James BondWOW	8.0	1
Iron Man 3	Yes you heard me Iron Man 3 is an improvement over lackluster Iron Man 2 I am glad Shane Black replaced the director Jon Favreau who ruined the sequel and didnt know what to do with the movie I love this movie and it is one of my favorite MCU film I love it more than the last Iron Man movie The third entry of Iron Man is a decent kickass badass action film There is a ton of action in there The character are better development Iron Man 3 is MILES way better than Doctor Strange Black Panther ThorIron	7.2	0
Pirates of the Caribbean: Dead Man's Chest	This movie ha everything a good blockbuster should have star cast special effect a healthy dose of drama romance a villain so to say sadly also a rather weak story with an ending just calling for part three just like the last second in the Matrix trilogy I didnt get that feeling that the adventure is finished somehow more like a soap opera ending On the other hand some dialog are really funny and the whole movie is more like a parody on pirate All and all go and see this sit down in that cinema and have a goodWell	7.3	0
Spirited Away	Personally Ive never seen anything a original in an animated film a in this deeply mythical fairytale What a surreal idea for a movie Its hard to find an adequate description because I also dont want to spoil this in the slightest way but this film ha a sense of otherness to it for lack of a better word like none Ive ever seen And the strange mythical nature of this film apart from the amazing artwork is probably one of the main reason for it appeal to me Maybe the theme of the story dontSpirited Away is the first	8.6	1
Mission: Impossible - Rogue Nation	Having seen the previous four Mission Impossible film I have to admit that none of them impressed me to the degree that I had hoped I guess my expectation for action thriller centering on secret agent were set too high because I saw the Bourne trilogy and Daniel Craigs James Bond film first The first three MI film all seemed a little too slow cheesy or convoluted on my first viewing The fourth one wa pretty good even if the story doe feel a little forgettableSo where doe that bring me for the fifth entry of the franchise My expectationsAll	7.4	0
It's Christmas, Eve	Eve Morgan is a school superintendent whose next job is in her hometown Her neighbour Liam happens to be the music teacher in the high school and head of the Christmas show Having herself a musical past but having no other choice she decides to shut down the music and art program After spending time with Liam and this case hitting close to home they both find another solution to their problemI wa a little hesitant about this movie I saw Tyler in another movie a few day ago and I wasnt convinced and I honestly didnt know anything aboutI	6.2	0
Fantastic Beasts: The Crimes of Grindelwald	Let me start off by saying that I am a big Harry Potter fan I loved all 8 HP movie and really liked the 1st installment of Newts adventure a well This movie just didnt really do the trick for me There wa absolutely nothing to complain about visually the movie wa even more stunning than the first one with even more beautifully designed Beasts And a many other people have mentioned a a Harry Potter fan you just cant hate this movie Where Fantastic Beasts and Where to Find Them only contained a handful amount of reference to theAs	7.0	0
The Predator	Like everybody else back in 1987 I wa really impressed by Predator It wa pretty simple and straightforward movie but it introduced a pretty neat and unique concept and well there wa something special about the atmosphere the jungle it just came alive and took him It wa awesome Unfortunately sequel suffered from some seriously poor writing while Aliens versus Predator franchise turned out to be a complete disaster Everybody know that and everybody wanted Predator franchise to return to it former glory one day Thats why I had some hope for this one I seriously did Thats why IInstead	5.7	0
Aan Devathai		7.5	0
Rambo: First Blood Part II	Rambo First Blood Part II 1985 is my personal number 1 favorite action movie of all time The quintessential pure badass action movie that I call it This is my favorite badass pure action film of the 80 I cherish and I love this film to death Sylvester Stallones best movie he ever made this is one man against an army I am huge Sylvester Stallone fan he is my number 1 favorite action star Rambo First Blood Part II is my number 1 film in the action genre Rambo seriesThis movie ha heart and soul in the movie youFirst	6.4	0
Sicario: Day of the Soldado	This is one of those action movie that it only job is to give you a real a possible experience with it beautiful cinematography It doesnt feel a real a Children of Men and it probably wont get a Oscar but it serf it job The movie may not be a masterful a Villeneuves original but it achieves to keep you on the screen There are really good heartpumping scene that beautifully blended with the score in it convoluted plot Just like in the first movie the story get darker and darker It reflects reallife situation thats why it soWhere	7.1	0
The Hobbit: An Unexpected Journey	When I heard that there wa to be a film version of The Hobbit I wa quite looking forward to it a the big finish of Lord of the Rings wa still in my mind and unlike LotR I had actually read The Hobbit several time many year ago When I heard that it might be two film I wasnt surprised but the news that it wa to be three did rather dampen my spirit a I dont know if I had the interest for this story to be concluded a 2016 roll into town Regardless I did of courseFirstly	7.9	0
The Lord of the Rings: The Fellowship of the Ring	Here is one film that lived up to it hype and by the time I saw it after it had arrived at the video store I had heard and read a ton of thing about it and seen all the award it had received and expected a lot To my surprise it did not disappointNow several year later after having watched all three of these Rings film twice each I still think this first movie of the trilogy is the best It is a truly spectacular adventure story all the way through probably the best ever put to filmand theSimply	8.8	1
Replicas	Yes youll undoubtedly spot some of Keanus more pivotal SciFi role converging into this character Namely Johnny Mnemonic Neo Kevin Lomax and a always his Tedencies But the character is not the draw in Replicas This Movie is purely playing out realworld hypothetical set it up with a grieving fatherhusband who scientific research is already on the verge of breakthrough on multiple level The plot touch on a few nearfuture concept that havent exactly been approached in this manor or at least all in one story line Without giving too much of it away I will say that there areIll	6.1	0
Jurassic World: Fallen Kingdom	There is no way so many people would be AMAZED at this POS movie and even compare it to Spielbergs original JP masterpiece or call it one on it own right This movie isnt even worth to be an episode in an average cable tv show Its the blandest most predictable and lazy part of the series so far There is not even the slightest hint of originality or anything fresh in the whole film Nor is there any tempo to the story And barring quite good Goldblums speech the whole 100 of dialogue are forgettable a are all ofThis	6.3	0
Thor: Ragnarok	I loved it I am a big fan of standup comedy and this one really delivered My baby and I often go to comedy club we watch Colbert and Kimmel and even rerun of Carson on TV RagnarockMCU MCU rock hahahaa I am so ckool This wa an introduction to Mr Thor from MCU and it wa funny funnyRagnarok is a neoninfused fantasy of what superhero film could look like There are gigantic monster and beautiful woman zombie army and a big spooky dog an evil witch and Jeff Goldblum but this isnt just a wacky movie made for the	7.9	0
Django Unchained	Quentin Tarantino one of the most iconic director of the 21st and late 20th century why Simple Because of masterpiece like this Tarantino defies the law of film he shoot them in his own way however he want Tarantino ha always focused upon the action thriller genre from Reservoir Dogs up until Inglourious Basterds However Django Unchained is Tarantinos first look at the Western genre his first attempt at it and he executed it beautifully The scene were shot perfectly alongside an amazing soundtrack a well a his own small cameoDjango Unchained tell the story of Django Jamie Foxx aI	8.4	1
Harry Potter and the Deathly Hallows: Part 1	Up until now I wa convinced that from the 4th book onwards Harry Potterbooks had become too complex to make into film Goblet of Fire wa a sore disappointment Order of the Phoenix left many Potterheads wanting more even if it wasnt a bad film per se personally I thoroughly enjoyed it even though I felt they left out too much Halfblood Prince while visually stunning did not capture the brilliance of the book With Harry Potter and the Deathly Hallows I think the maker have finally succeeded in crafting a movie that wa both fun to watch for casualA	7.7	0
Pirates of the Caribbean: Dead Men Tell No Tales	After not really caring for the last pirate of the Caribbean film I didnt have high expectation for this movie but I went and saw it and I wa right to have these low expectation The premise of the film see the return of captain jack sparrow a he lead an expedition for the Trident of Poseidon while on the run from an old enemy Johnny depp ha become known for the role of jack sparrow and I think when in that character he usually delivers his best that wa until this film He ha some of the charisma andThis	6.6	0
Hotel Transylvania 3: Summer Vacation	I loved this film Its funny and creative Kept my daughter 95 captivated She just had to call Grandma afterward to tellWhile on a vacation with his family Count Dracula make a romantic connection Hotel Transylvania is probably one of the most underrated animated franchise i have ever seen in my life And once again they nailed it with Part 3 such a total blast with lot of great humor but also great message for both kid and their parent too I love the chemistry between Erica and Dracula it wa so adorable and romantic plus once again the animation	6.3	0
Pariyerum Perumal	A must watch movie forNew kinda film for tamil cinema this wa never spoken soI dont want to be spoiler by saying the whole story Pariyerum perumal is not a film Its a life This is a film about a castism But this is not a film only about castism The film explores our daily life of rural people who are crushed by a higher class people This film explains whatever the rural people do for there development they cant reach their destination in this society First of all hatsoff to the director MARISELVARAJ for given this wonderful art This	9.2	1
Death Race 4: Beyond Anarchy	Dumb Brutal and a Lot of Boobs Absolutely enjoyable andLoads of fun HarkensI wa surprised by this movie it wa better than inferno and I did notPlot hole Sure Pointless nudity Heck yeah Ridiculous explosion You betcha Acting that range from decent to terribad Yep I mean going into it you have to expect wellall these thing But it actually end up being a pretty fun ride And aDeath Race 4 Beyond Anarchy 8 out of 10 The fourth movie on the remake timeline which started with a rather poor Jason Statham vehicle in 2008 A secret agent go to	5.3	0
Hunter Killer	I have not seen a single ad for this movie The only way I knew about it wa by IMDb I will tell you what this wa a very good movie A couple big name star and no romantic drama to sideline the storyline Just an oldI gaveKept me on the edge of myOK not the best movie ever but it is a very enjoyable action movie which get you from the first moment It could have been a Dirk PittIve seen over 80 movie in the theatre this year and I am confident this one is one of the	7.0	0
Maquia: When the Promised Flower Blooms	To preface I rarely trust review that have 1010 just because usually people who do them are biased towards genre theme actor etc in the way that they are fan of those and it automatically bump up the score of a film for them to a few point above what it really deserves It might be the case for me here too although I must say that I am not a huge fun of anime in general I like certain title a lot but Im not really following the genre So yesterday I felt like watching anime on a bigMariI	7.4	0
The Hunger Games: Mockingjay - Part 1	The Hunger Games story continues with the third installation Mockingjay And it about a padded and needlessly long a every other twoparter weve had since the studio executive came up with this moneygrabbing monstrosity of an ideaNot to say you shouldnt see this one if youve liked the previous Hunger Games film This continues the story just fine Jennifer Lawrence still shine a Katniss Everdeen Her presence and talent hold u through even through scene you instantly recognize a needle padding and waste of our money The returning cast is also a talented a theyve always been and most ofI	6.7	0
The Equalizer 2	The movie is good Im a Denzel fan and a Fuqua fan so naturally i enjoyed it I would like toI had my expectation high because I wa very impressed with the first one Unfortunately this one is a bit of a disappointment owing to the pacing and predictability of the story It wa slower and boring If they decide to make a third oneIf there anyone in Hollywood that I would believe is actually a real life bada it probably Denzel Washington The first Equalizer wa a surprisingly brutal and visceral action film that gave Liam Neeson movie a	6.8	0
Rampage	Every single cliche of an actionhorroradventure flick rolled up into one The charisma of the two big guysOk let see A movie based on an incredibly simple video game about monster climbing building and eating people Do people go in thinking it going to be Oscar materialI love Godzilla I love Kong Skull Island Pacific Rim you get the pictureIts a giant monster movie with The Rock and Negan in it And it is a barrel of funThe humor is good the effect are great the story is interesting the pace is fast the character are funIf you can turn	6.2	0
The Dark Knight Rises	Not being a huge fan of superhero movie I didnt have much expectation for Batman Begins However viewing the 2005 Christopher Nolan production I wa pleasantly shocked Then after my huge expectation for The Dark Knight Christopher Nolan blew my expectation to the dust Will the same happen with the 3rd and last film The Dark Knight Rises Quite simply Yes My big expectation were once again blown away What a production This is a true cinematic experience to behold The movie exceeded my expectation in term of action and entertainment The editing sound score visuals direction and action areAfter	8.4	1
Harry Potter and the Half-Blood Prince	Very investing movie with someI wa lucky enough to see a preview of HalfBlood Prince three day before opening day I saw it a second time with my son who is not quite ten but who is generally mature for his age and doesnt scare easily The two viewing give me the unique advantage of both the adult and the child perspective on the movie I only recently started counting myself a true Harry Potter fan after my son introduced me to the movie a couple of year ago I finished the last book only three week before seeing the	7.6	0
Harry Potter and the Order of the Phoenix	Harry Potter and the Order of the Phoenix is the first Harry Potter movie directed by David Yates Some fan love Yates and his different style but there are people who dont like him myself included Sure he the one responsible for my favourite half of the series where Harry is growing up and everything is darker But in the movie the character arent a deep and the darkness feel more like a colour scheme than a change in the story tellingYatess style chooses action over the story which make no sense when considering what the novel wa likeWhen I	7.5	0
Mission: Impossible - Fallout	As we all know this is the sixth instalment of the franchise Supposedly by this time the series already started long to drag their wear and tear tire here and about so within so without sucking every preposterous and ridiculous idea they can think of However Mission Impossible franchise ha been one of the few to deny that statement a the impossible becomes possible a it suggests that statement is merely a myth a the idea never entirely run out a the stunt are afresh and eyecatching but can this new instalment keep up with the others putting aside theTom	7.9	0
First Man	I saw this movie at a sneak preview and I had high expectation given the hype but sadly this wa no The Right Stuff The problem may lie in the main character on which the movie is based Neil Armstrong He is portrayed a a colorless technocrat who is somewhat cold to his family The movie focus mainly on his family relationship and the landing on the moon is somewhat secondary therefore the movie lack a lot of drama This is unfortunate since Armstrong led a very charmed life a a fighter pilot test pilot and astronaut The movie coversI	7.7	0
Avengers: Infinity War	I wa amazed to see so many negative review so manyAll the review that say this movie ha no plot are either troll idiot or didnt are to take the time to watch previous marvel movie Every single one of those rating and review should be taken down and not added to the rating for Infinity War because of their fundamental lack of understanding Its like coming in and watching the last 2 minute of an hour long drama show and saying this episode suck because it ha no plot Its utterly ridiculousThere have been 31 marvel movie leading up	8.5	1
Kingsman: The Secret Service	Im going to be honest about this I like unabashedly violent action film Im 42 year old Im from Texas and I can take it Growing up with film like Rambo Die Hard The Terminator and Robocop I cant stand that watereddown nobloodnoswearing gutless kiddie fare that is being served a action these day I know the real thing when I see it we used to see it all the time back in the day and I hardly ever see it anymoreWhich brings me to this movie Kingsman The Secret Service wa being shown just around the cornerStylish brutal and	7.7	0
The Meg	Look this movie wasnt bad but it wasnt great either Everything that come with a shark movie wa here A cheesy storyline that bounced around a lot and some great action sequence wth the shark16 review and half are all a fake highrated single review of this film make me shake my head why the producer think their viewer are dumb and wont see thru the fake All it take is one click to see the only single review from the poster Dont get me started on the moronic review from halil92019 Playing computer game make kid smarterThis film had	5.8	0
The Greatest Showman	As usual the critic fail to graspI have never written aI love the circus I love quality cinema Not since Billy Roses Jumbo 1962 ha a motion picture so successfullyThis is possibly one of the best film I have ever seenOk so Im not a movie	7.7	0
Deadpool 2	Deadpool 2 the sequel to the smash hit Deadpool 2016 is an crazy insane badass action I have ever saw Ryan Reynolds Josh Brolin and Zazie Beetz did make this movie work for me and they kickass in this movie The action in this movie is so insanely crazy Those 3 guy battling each other while Deadpool try to protect a kid a mutant who will become a next monster he is a Russell Collins Firefist Julian Dennison The movie is fantastic funny it ha action humor and scifi It is an pair and equally damn good film asYour going	7.8	0
The Holiday Calendar	Its easy to say that yes this movie is highly predictable Id presume thats one of the reason it receiving a large load ofOK everyone maybe if you dont like predictable Christmas movie go somewhere else But come on this is the PERFECT holiday movie to get you in the holiday spirit Its wayyy better than A Christmas Prince and that movie wa the talk of the town last year Who want to watch a Christmas movie with twist and turn anyway I dont They make Christmas horror film if thats more your thing I wanna see love friend family	5.7	0
Pirates of the Caribbean: The Curse of the Black Pearl	I am nearly fifty year old A sober grown man With child Children with whom I have now sat through hundred of movie Many of which I have enjoyed And I am not completely hardened in my sophistication The opening music to The Lion King brought tear to my eye when my little one were but wee tot But still these are after all just childrens movie In another life I would never have seen them And really one cant take such movie too seriously can oneAnd so this summer after the ritual badgering I dutifully trudged into yet anotherAlthough	8.0	1
The Shape of Water	The Shape of Water hasAs the director of the highest class Guillermo del Toro showed himself at the beginning of his career when he happened to put a charming Chronos and truly frightening Mutants which allowed the Mexican master to gain a foothold on American soil and continue further creative research Each film del Toro whether it be frightening mysticism horror or screen adaptation of a graphic novella ha a powerful emotional charge profound reasoning and breaking any barrier by the power of love to which the director ha a special relationship Invariably putting his hand to writing the script	7.4	0
The Spy Who Dumped Me	Most ofI only went to see this because myThis wa a major disappointment Poor acting byI gave it 30What in the world That wa A horrible movie It	6.1	0
Coco	Im Mexican and all i can say is Thanks you PizaxI just saw this movie and i just remembered all my childhood with my grandparent Mexico wa represented beautifullythe music the color This movie touched me inI knew absolutely nothing about this movie walking in the only reason I wa there wa to take my daughter to see it is strictly because my wife said there wa a short Frozen film that played along with the movie and my daughter just so happens to be the biggest Frozen fan on the face of the planetNot only wa I surprised by	8.4	1
